sra_sname	treatment	sex	age	rank	DSI_F	Flow_PC1	Flow_PC2	Flow_PC3	year
AMB_69_NULL	NULL	F	11.9479808350445	5	0.215195654649453	0.624574427423049	1.10785269978257	0.0629426649830817	2018
AMB_74_NULL	NULL	F	5.32785763175907	21	1.37542238780587	-0.986022382953678	0.580223212013357	0.120927314420249	2018
AMB_69_LPS	LPS	F	11.9479808350445	5	0.215195654649453	0.624574427423049	1.10785269978257	0.0629426649830817	2018
AMB_74_LPS	LPS	F	5.32785763175907	21	1.37542238780587	-0.986022382953678	0.580223212013357	0.120927314420249	2018
AMB_70_NULL	NULL	M	15.4086242299795	8	NA	1.77881492619058	0.275436156013682	-0.756744876174315	2018
AMB_70_LPS	LPS	M	15.4086242299795	8	NA	1.77881492619058	0.275436156013682	-0.756744876174315	2018
AMB_68_NULL	NULL	F	5.28952772073922	7	1.30567131858593	-0.118886722505192	0.0386743382123119	0.00222849110068464	2018
AMB_68_LPS	LPS	F	5.28952772073922	7	1.30567131858593	-0.118886722505192	0.0386743382123119	0.00222849110068464	2018
AMB_78_NULL	NULL	M	9.43737166324435	2	NA	2.70324884272037	0.630725972369842	-1.03679416431202	2018
AMB_90_NULL	NULL	F	6.94866529774127	16	0.937332402584096	-1.80476915629821	1.1908981173704	-0.958189201014747	2018
AMB_76_LPS	LPS	F	6.3025325119781	22	1.03079651560937	0.705444650156328	1.10179735886227	0.696150089339658	2018
AMB_78_LPS	LPS	M	9.43737166324435	2	NA	2.70324884272037	0.630725972369842	-1.03679416431202	2018
AMB_82_LPS	LPS	F	5.68925393566051	14	1.50976198565226	-0.209128697426196	0.615351192683058	-0.756360866107436	2018
AMB_87_NULL	NULL	F	17.0595482546201	5	1.46679168253285	0	0	0	2018
AMB_80_NULL	NULL	F	7.24161533196441	19	1.15300689097877	-0.294128707284998	0.373161337170604	-0.615369057385183	2018
AMB_88_NULL	NULL	F	5.88911704312115	5	0.523827953998073	-0.578896813193216	1.1330792673786	-0.440240392462664	2018
AMB_87_LPS	LPS	F	17.0595482546201	5	1.46679168253285	0	0	0	2018
AMB_80_LPS	LPS	F	7.24161533196441	19	1.15300689097877	-0.294128707284998	0.373161337170604	-0.615369057385183	2018
AMB_88_LPS	LPS	F	5.88911704312115	5	0.523827953998073	-0.578896813193216	1.1330792673786	-0.440240392462664	2018
AMB_91_NULL	NULL	F	5.18001368925394	13	1.0489854865611	-1.99841186167904	0.884392895394566	-0.772524917601872	2018
AMB_45B_NULL	NULL	F	8.10130047912389	8	1.44074112672182	-0.758163048230103	1.49947933871495	0.438734815058473	2018
AMB_91_LPS	LPS	F	5.18001368925394	13	1.0489854865611	-1.99841186167904	0.884392895394566	-0.772524917601872	2018
AMB_45B_LPS	LPS	F	8.10130047912389	8	1.44074112672182	-0.758163048230103	1.49947933871495	0.438734815058473	2018
AMB_92_NULL	NULL	M	5.60711841204654	4	NA	-0.197570816503246	0.753283703529754	-0.595353170291218	2018
AMB_96_NULL	NULL	F	5.47022587268994	3	1.48049616367774	-2.1573536606062	1.00432626266549	0.685300845971155	2018
AMB_92_LPS	LPS	M	5.60711841204654	4	NA	-0.197570816503246	0.753283703529754	-0.595353170291218	2018
AMB_97_LPS	LPS	M	10.0616016427105	2	NA	0	0	0	2018
AMB_96_LPS	LPS	F	5.47022587268994	3	1.48049616367774	-2.1573536606062	1.00432626266549	0.685300845971155	2018
AMB_1_LPS	LPS	M	6.33538672142368	11	NA	-1.68444171187769	1.30221397333226	0.178816338857704	2016
AMB_1_NULL	NULL	M	6.33538672142368	11	NA	-1.68444171187769	1.30221397333226	0.178816338857704	2016
AMB_2_LPS	LPS	F	4.24093086926762	3	1.70806959627499	-2.24837737904606	-0.744384212963933	0.990121493746482	2015
AMB_2_NULL	NULL	F	4.24093086926762	3	1.70806959627499	-2.24837737904606	-0.744384212963933	0.990121493746482	2015
AMB_3_LPS	LPS	M	18.4558521560575	10	NA	1.45328415150526	-2.61680620305356	0.81499412927306	2013
AMB_3_NULL	NULL	M	18.4558521560575	10	NA	1.45328415150526	-2.61680620305356	0.81499412927306	2013
AMB_4_LPS	LPS	M	15.64681724846	6	NA	-1.35522940579543	-0.255216474510641	-1.50724225935182	2014
AMB_4_NULL	NULL	M	15.64681724846	6	NA	-1.35522940579543	-0.255216474510641	-1.50724225935182	2014
AMB_5_LPS	LPS	M	24.8761122518823	8	NA	1.25222939445194	0.465740292124406	0.646573282802805	2013
AMB_5_NULL	NULL	M	24.8761122518823	8	NA	1.25222939445194	0.465740292124406	0.646573282802805	2013
AMB_6_LPS	LPS	M	11.1321013004791	4	NA	2.19547730177136	-1.77193020200483	-1.53309263134191	2013
AMB_6_NULL	NULL	M	11.1321013004791	4	NA	2.19547730177136	-1.77193020200483	-1.53309263134191	2013
AMB_7_LPS	LPS	F	9.46201232032854	1	1.40651253621543	-1.7664905565184	-0.499312913366377	0.413986178011136	2016
AMB_7_NULL	NULL	F	9.46201232032854	1	1.40651253621543	-1.7664905565184	-0.499312913366377	0.413986178011136	2016
AMB_8_LPS	LPS	M	7.71526351813826	5	NA	0.974541675468383	0.296997072271359	1.17430121543884	2014
AMB_8_NULL	NULL	M	7.71526351813826	5	NA	0.974541675468383	0.296997072271359	1.17430121543884	2014
AMB_9_LPS	LPS	M	6.51882272416153	14	NA	-0.689368793957515	-0.26471053841823	-0.0964303071266622	2016
AMB_9_NULL	NULL	M	6.51882272416153	14	NA	-0.689368793957515	-0.26471053841823	-0.0964303071266622	2016
AMB_10_LPS	LPS	F	10.5516769336071	1	0.437521401614942	-1.18906476970081	0.894161183383952	0.667754720965712	2016
AMB_10_NULL	NULL	F	10.5516769336071	1	0.437521401614942	-1.18906476970081	0.894161183383952	0.667754720965712	2016
AMB_11_LPS	LPS	M	9.83983572895277	2	NA	-0.465084465752941	-1.42543985214362	2.07552925516291	2014
AMB_11_NULL	NULL	M	9.83983572895277	2	NA	-0.465084465752941	-1.42543985214362	2.07552925516291	2014
AMB_12_LPS	LPS	M	6.03969883641342	16	NA	-1.94825443159954	-1.25183482074221	0.557226310439821	2013
AMB_12_NULL	NULL	M	6.03969883641342	16	NA	-1.94825443159954	-1.25183482074221	0.557226310439821	2013
AMB_13_LPS	LPS	F	5.72758384668036	24	-0.299173982077702	0.826358211959191	-0.0112789614913107	0.681059644935874	2013
AMB_13_NULL	NULL	F	5.72758384668036	24	-0.299173982077702	0.826358211959191	-0.0112789614913107	0.681059644935874	2013
AMB_14_LPS	LPS	M	19.7645448323066	10	NA	2.63363039426112	-0.394522836147366	1.28760345049146	2013
AMB_14_NULL	NULL	M	19.7645448323066	10	NA	2.63363039426112	-0.394522836147366	1.28760345049146	2013
AMB_15_LPS	LPS	F	9.28952772073922	9	0.25579532361942	-1.06321672870165	-0.291541488610033	-1.22038813170934	2015
AMB_15_NULL	NULL	F	9.28952772073922	9	0.25579532361942	-1.06321672870165	-0.291541488610033	-1.22038813170934	2015
AMB_16_LPS	LPS	F	6.7460643394935	6	0.979210969123971	-0.761071116683308	0.51298001857827	-0.31099197738925	2016
AMB_16_NULL	NULL	F	6.7460643394935	6	0.979210969123971	-0.761071116683308	0.51298001857827	-0.31099197738925	2016
AMB_17_LPS	LPS	F	6.58179329226557	12	0.936014660013445	-0.558736506776387	-0.123753384708359	-0.00789672704667951	2015
AMB_18_LPS	LPS	F	5.36344969199179	5	0.884265919994422	0.583545715222087	-1.02214236173952	1.49435401100228	2015
AMB_19_NULL	NULL	M	5.76317590691307	8	NA	1.58986950125869	-2.05098391888956	2.96398031142599	2015
AMB_20_LPS	LPS	M	11.5701574264203	10	NA	1.97340417667195	1.45365385975118	0.554939433602094	2015
AMB_20_NULL	NULL	M	11.5701574264203	10	NA	1.97340417667195	1.45365385975118	0.554939433602094	2015
AMB_21_LPS	LPS	M	7.1895961670089	17	NA	-1.93125612108968	-1.52512828990875	0.71265915753518	2013
